id,team1,team2,wins1,wins2,week,date,url
1,Leviatan,Isurus Estral,-,-,3,2025-04-21,https://gol.gg/game/stats/66255/page-preview/
2,LOUD,FURIA,-,-,3,2025-04-21,https://gol.gg/game/stats/66254/page-preview/
3,Vivo Keyd Stars,paiN Gaming,-,-,3,2025-04-21,https://gol.gg/game/stats/66253/page-preview/
4,RED Canids,Fluxo,-,-,3,2025-04-21,https://gol.gg/game/stats/66252/page-preview/
5,FURIA,Vivo Keyd Stars,-,-,3,2025-04-20,https://gol.gg/game/stats/66251/page-preview/
6,Isurus Estral,RED Canids,-,-,3,2025-04-20,https://gol.gg/game/stats/66250/page-preview/
7,LOUD,Fluxo,-,-,3,2025-04-20,https://gol.gg/game/stats/66249/page-preview/
8,paiN Gaming,Leviatan,-,-,3,2025-04-20,https://gol.gg/game/stats/66248/page-preview/
9,Isurus Estral,LOUD,-,-,3,2025-04-19,https://gol.gg/game/stats/66247/page-preview/
10,Vivo Keyd Stars,Leviatan,-,-,3,2025-04-19,https://gol.gg/game/stats/66246/page-preview/
11,Fluxo,paiN Gaming,-,-,3,2025-04-19,https://gol.gg/game/stats/66245/page-preview/
12,FURIA,RED Canids,-,-,3,2025-04-19,https://gol.gg/game/stats/66244/page-preview/
13,Fluxo,FURIA,0,1,2,2025-04-13,https://gol.gg/game/stats/65723/page-game/
14,RED Canids,paiN Gaming,0,1,2,2025-04-13,https://gol.gg/game/stats/65722/page-game/
15,Vivo Keyd Stars,Isurus Estral,1,0,2,2025-04-13,https://gol.gg/game/stats/65721/page-game/
16,Leviatan,LOUD,0,1,2,2025-04-13,https://gol.gg/game/stats/65720/page-game/
17,FURIA,paiN Gaming,1,0,2,2025-04-12,https://gol.gg/game/stats/65719/page-game/
18,Leviatan,RED Canids,0,1,2,2025-04-12,https://gol.gg/game/stats/65718/page-game/
19,Isurus Estral,Fluxo,0,1,2,2025-04-12,https://gol.gg/game/stats/65717/page-game/
20,LOUD,Vivo Keyd Stars,0,1,2,2025-04-12,https://gol.gg/game/stats/65716/page-game/
21,LOUD,paiN Gaming,0,1,1,2025-04-06,https://gol.gg/game/stats/65453/page-game/
22,Leviatan,Fluxo,1,0,1,2025-04-06,https://gol.gg/game/stats/65452/page-game/
23,Vivo Keyd Stars,RED Canids,1,0,1,2025-04-06,https://gol.gg/game/stats/65451/page-game/
24,FURIA,Isurus Estral,1,0,1,2025-04-06,https://gol.gg/game/stats/65450/page-game/
25,LOUD,RED Canids,0,1,1,2025-04-05,https://gol.gg/game/stats/65449/page-game/
26,Vivo Keyd Stars,Fluxo,1,0,1,2025-04-05,https://gol.gg/game/stats/65448/page-game/
27,FURIA,Leviatan,0,1,1,2025-04-05,https://gol.gg/game/stats/65447/page-game/
28,Isurus Estral,paiN Gaming,0,1,1,2025-04-05,https://gol.gg/game/stats/65446/page-game/
